term_1	term_2	weight
307	CORUM:191	REAC:R-HSA-69202	0.6666667
308	CORUM:191	REAC:R-HSA-69601	0.6666667
309	CORUM:191	REAC:R-HSA-69610	0.6666667
310	CORUM:191	REAC:R-HSA-69613	0.6666667
311	CORUM:191	REAC:R-HSA-69656	0.6666667
312	CORUM:191	REAC:R-HSA-71291	1.0000000
313	CORUM:191	REAC:R-HSA-75815	0.6666667
314	CORUM:191	REAC:R-HSA-8852276	1.0000000
315	CORUM:191	REAC:R-HSA-8939902	0.6666667
316	CORUM:191	REAC:R-HSA-8948751	0.6666667
317	CORUM:191	REAC:R-HSA-8953897	1.0000000
318	CORUM:191	REAC:R-HSA-9010553	1.0000000
319	CORUM:191	REAC:R-HSA-9675108	1.0000000
320	CORUM:191	REAC:R-HSA-9707587	1.0000000
321	CORUM:191	REAC:R-HSA-9711123	1.0000000
322	CORUM:191	REAC:R-HSA-983169	1.0000000
323	CORUM:191	TF:M01665	0.8333333
324	CORUM:191	TF:M08775	0.8333333
325	CORUM:191	TF:M09745	0.6666667
326	CORUM:191	TF:M11683	0.6666667
327	CORUM:191	TF:M11684	0.6666667
328	CORUM:191	TF:M11687	0.6666667
329	CORUM:191	WP:WP183	0.8333333
330	CORUM:192	CORUM:194	1.0000000
331	CORUM:192	GO:0002253	0.7500000
332	CORUM:192	GO:0002376	1.0000000
333	CORUM:192	GO:0002474	0.7500000
334	CORUM:192	GO:0002478	0.7500000
335	CORUM:192	GO:0002479	0.7500000
336	CORUM:192	GO:0002520	0.6250000
337	CORUM:192	GO:0002682	0.7500000
338	CORUM:192	GO:0002684	0.7500000
339	CORUM:192	GO:0002764	0.7500000
340	CORUM:192	GO:0002831	0.7500000
341	CORUM:192	GO:0002833	0.7500000
342	CORUM:192	GO:0005515	0.8750000
343	CORUM:192	GO:0006810	0.6250000
344	CORUM:192	GO:0006950	0.7500000
345	CORUM:192	GO:0006952	0.7500000
346	CORUM:192	GO:0006955	0.7500000
347	CORUM:192	GO:0007154	0.7500000
348	CORUM:192	GO:0007165	0.7500000
349	CORUM:192	GO:0007166	0.7500000
350	CORUM:192	GO:0009056	0.8750000
351	CORUM:192	GO:0009607	0.7500000
352	CORUM:192	GO:0009966	0.7500000
353	CORUM:192	GO:0009967	0.7500000
354	CORUM:192	GO:0010629	0.7500000
355	CORUM:192	GO:0010646	0.7500000
356	CORUM:192	GO:0010647	0.7500000
357	CORUM:192	GO:0019221	0.7500000
358	CORUM:192	GO:0019882	1.0000000
359	CORUM:192	GO:0019884	1.0000000
360	CORUM:192	GO:0023051	0.7500000
361	CORUM:192	GO:0023052	0.7500000
362	CORUM:192	GO:0023056	0.7500000
363	CORUM:192	GO:0030097	0.6250000
364	CORUM:192	GO:0030154	0.6250000
365	CORUM:192	GO:0031347	0.7500000
366	CORUM:192	GO:0031349	0.7500000
367	CORUM:192	GO:0031982	1.0000000
368	CORUM:192	GO:0032101	0.7500000
369	CORUM:192	GO:0032103	0.7500000
370	CORUM:192	GO:0032501	0.6250000
371	CORUM:192	GO:0032502	0.6250000
372	CORUM:192	GO:0033209	0.7500000
373	CORUM:192	GO:0034097	0.7500000
374	CORUM:192	GO:0034612	0.7500000
375	CORUM:192	GO:0035556	0.7500000
376	CORUM:192	GO:0036388	0.7500000
377	CORUM:192	GO:0042590	0.7500000
378	CORUM:192	GO:0043207	0.7500000
379	CORUM:192	GO:0043230	1.0000000
380	CORUM:192	GO:0044419	0.7500000
381	CORUM:192	GO:0045087	0.7500000
382	CORUM:192	GO:0045088	0.7500000
383	CORUM:192	GO:0045089	0.7500000
384	CORUM:192	GO:0048002	0.7500000
385	CORUM:192	GO:0048518	1.0000000
386	CORUM:192	GO:0048519	0.7500000
387	CORUM:192	GO:0048522	1.0000000
388	CORUM:192	GO:0048523	0.7500000
389	CORUM:192	GO:0048534	0.6250000
390	CORUM:192	GO:0048583	0.7500000
391	CORUM:192	GO:0048584	0.7500000
392	CORUM:192	GO:0048585	0.7500000
393	CORUM:192	GO:0048869	0.6250000
394	CORUM:192	GO:0050776	0.7500000
395	CORUM:192	GO:0050778	0.7500000
396	CORUM:192	GO:0050789	1.0000000
397	CORUM:192	GO:0050794	0.8750000
398	CORUM:192	GO:0050896	0.7500000
399	CORUM:192	GO:0051179	0.6250000
400	CORUM:192	GO:0051234	0.6250000
401	CORUM:192	GO:0051707	0.7500000
402	CORUM:192	GO:0051716	0.7500000
403	CORUM:192	GO:0055085	0.6250000
404	CORUM:192	GO:0065007	0.8750000
405	CORUM:192	GO:0065008	0.6250000
406	CORUM:192	GO:0065010	1.0000000
407	CORUM:192	GO:0070062	1.0000000
408	CORUM:192	GO:0070498	0.7500000
409	CORUM:192	GO:0070555	0.7500000
410	CORUM:192	GO:0071310	0.7500000
411	CORUM:192	GO:0071345	0.7500000
412	CORUM:192	GO:0071347	0.7500000
413	CORUM:192	GO:0071356	0.7500000
414	CORUM:192	GO:0071456	0.7500000
415	CORUM:192	GO:0080134	0.7500000
416	CORUM:192	GO:0098542	0.7500000
417	CORUM:192	GO:1902036	0.7500000
418	CORUM:192	GO:1903561	1.0000000
419	CORUM:192	HPA:0040000	0.6250000
420	CORUM:192	HPA:0040081	0.6250000
421	CORUM:192	HPA:0300412	0.6250000
422	CORUM:192	HPA:0530000	0.6250000
423	CORUM:192	HPA:0530711	0.6250000
424	CORUM:192	HPA:0600000	0.6250000
425	CORUM:192	HPA:0600441	0.6250000
426	CORUM:192	REAC:R-HSA-1236974	1.0000000
427	CORUM:192	REAC:R-HSA-1236975	1.0000000
428	CORUM:192	REAC:R-HSA-1266738	1.0000000
429	CORUM:192	REAC:R-HSA-1280215	1.0000000
430	CORUM:192	REAC:R-HSA-1280218	0.8750000
431	CORUM:192	REAC:R-HSA-1643685	0.8750000
432	CORUM:192	REAC:R-HSA-168249	1.0000000
433	CORUM:192	REAC:R-HSA-168256	1.0000000
434	CORUM:192	REAC:R-HSA-180534	0.7500000
435	CORUM:192	REAC:R-HSA-211733	0.7500000
436	CORUM:192	REAC:R-HSA-2262752	1.0000000
437	CORUM:192	REAC:R-HSA-349425	0.7500000
438	CORUM:192	REAC:R-HSA-376176	1.0000000
439	CORUM:192	REAC:R-HSA-422475	1.0000000
440	CORUM:192	REAC:R-HSA-449147	1.0000000
441	CORUM:192	REAC:R-HSA-450408	0.7500000
442	CORUM:192	REAC:R-HSA-5357801	0.8750000
443	CORUM:192	REAC:R-HSA-5663205	1.0000000
444	CORUM:192	REAC:R-HSA-5687128	0.7500000
445	CORUM:192	REAC:R-HSA-69202	0.7500000
446	CORUM:192	REAC:R-HSA-69601	0.7500000
447	CORUM:192	REAC:R-HSA-69610	0.7500000
448	CORUM:192	REAC:R-HSA-69613	0.7500000
449	CORUM:192	REAC:R-HSA-69656	0.7500000
450	CORUM:192	REAC:R-HSA-71291	1.0000000
451	CORUM:192	REAC:R-HSA-75815	0.7500000
452	CORUM:192	REAC:R-HSA-8852276	1.0000000
453	CORUM:192	REAC:R-HSA-8939902	0.7500000
454	CORUM:192	REAC:R-HSA-8948751	0.7500000
455	CORUM:192	REAC:R-HSA-8953897	1.0000000
456	CORUM:192	REAC:R-HSA-9010553	1.0000000
457	CORUM:192	REAC:R-HSA-9675108	1.0000000
458	CORUM:192	REAC:R-HSA-9707587	1.0000000
459	CORUM:192	REAC:R-HSA-9711123	1.0000000
460	CORUM:192	REAC:R-HSA-983169	1.0000000
461	CORUM:192	TF:M01665	0.6250000
462	CORUM:192	TF:M08775	0.8750000
463	CORUM:192	TF:M08775_1	0.6250000
464	CORUM:192	TF:M08887	0.6250000
465	CORUM:192	TF:M09745	0.6250000
466	CORUM:192	TF:M11664	0.6250000
467	CORUM:192	TF:M11665	0.6250000
468	CORUM:192	TF:M11682	0.6250000
469	CORUM:192	TF:M11683	0.7500000
470	CORUM:192	TF:M11684	0.7500000
471	CORUM:192	TF:M11686	0.6250000
472	CORUM:192	TF:M11687	0.7500000
473	CORUM:192	WP:WP183	0.8750000
474	CORUM:194	GO:0002253	1.0000000
475	CORUM:194	GO:0002376	1.0000000
476	CORUM:194	GO:0002474	1.0000000
477	CORUM:194	GO:0002478	1.0000000
478	CORUM:194	GO:0002479	1.0000000
479	CORUM:194	GO:0002520	0.8333333
480	CORUM:194	GO:0002682	1.0000000
481	CORUM:194	GO:0002684	1.0000000
482	CORUM:194	GO:0002764	1.0000000
483	CORUM:194	GO:0002831	1.0000000
484	CORUM:194	GO:0002833	1.0000000
485	CORUM:194	GO:0005515	0.8333333
486	CORUM:194	GO:0006810	0.8333333
487	CORUM:194	GO:0006950	1.0000000
488	CORUM:194	GO:0006952	1.0000000
489	CORUM:194	GO:0006955	1.0000000
490	CORUM:194	GO:0007154	1.0000000
491	CORUM:194	GO:0007165	1.0000000
492	CORUM:194	GO:0007166	1.0000000
493	CORUM:194	GO:0009056	0.8333333
494	CORUM:194	GO:0009607	1.0000000
495	CORUM:194	GO:0009966	1.0000000
496	CORUM:194	GO:0009967	1.0000000
497	CORUM:194	GO:0010629	1.0000000
498	CORUM:194	GO:0010646	1.0000000
499	CORUM:194	GO:0010647	1.0000000
500	CORUM:194	GO:0019221	1.0000000
501	CORUM:194	GO:0019882	1.0000000
502	CORUM:194	GO:0019884	1.0000000
503	CORUM:194	GO:0023051	1.0000000
504	CORUM:194	GO:0023052	1.0000000
505	CORUM:194	GO:0023056	1.0000000
506	CORUM:194	GO:0030097	0.8333333
507	CORUM:194	GO:0030154	0.8333333
508	CORUM:194	GO:0031347	1.0000000
509	CORUM:194	GO:0031349	1.0000000
510	CORUM:194	GO:0031982	1.0000000
511	CORUM:194	GO:0032101	1.0000000
512	CORUM:194	GO:0032103	1.0000000
513	CORUM:194	GO:0032501	0.8333333
514	CORUM:194	GO:0032502	0.8333333
515	CORUM:194	GO:0033209	1.0000000
516	CORUM:194	GO:0034097	1.0000000
517	CORUM:194	GO:0034612	1.0000000
518	CORUM:194	GO:0035556	1.0000000
519	CORUM:194	GO:0036388	1.0000000
520	CORUM:194	GO:0042590	1.0000000
521	CORUM:194	GO:0043207	1.0000000
522	CORUM:194	GO:0043230	1.0000000
523	CORUM:194	GO:0044419	1.0000000
524	CORUM:194	GO:0045087	1.0000000
525	CORUM:194	GO:0045088	1.0000000
526	CORUM:194	GO:0045089	1.0000000
527	CORUM:194	GO:0048002	1.0000000
528	CORUM:194	GO:0048518	1.0000000
529	CORUM:194	GO:0048519	1.0000000
530	CORUM:194	GO:0048522	1.0000000
531	CORUM:194	GO:0048523	1.0000000
532	CORUM:194	GO:0048534	0.8333333
533	CORUM:194	GO:0048583	1.0000000
534	CORUM:194	GO:0048584	1.0000000
535	CORUM:194	GO:0048585	1.0000000
536	CORUM:194	GO:0048869	0.8333333
537	CORUM:194	GO:0050776	1.0000000
538	CORUM:194	GO:0050778	1.0000000
539	CORUM:194	GO:0050789	1.0000000
540	CORUM:194	GO:0050794	0.8333333
541	CORUM:194	GO:0050896	1.0000000
542	CORUM:194	GO:0051179	0.8333333
543	CORUM:194	GO:0051234	0.8333333
544	CORUM:194	GO:0051707	1.0000000
545	CORUM:194	GO:0051716	1.0000000
546	CORUM:194	GO:0055085	0.8333333
547	CORUM:194	GO:0065007	0.8333333
548	CORUM:194	GO:0065008	0.8333333
549	CORUM:194	GO:0065010	1.0000000
550	CORUM:194	GO:0070062	1.0000000
551	CORUM:194	GO:0070498	1.0000000
552	CORUM:194	GO:0070555	1.0000000
553	CORUM:194	GO:0071310	1.0000000
554	CORUM:194	GO:0071345	1.0000000
555	CORUM:194	GO:0071347	1.0000000
556	CORUM:194	GO:0071356	1.0000000
557	CORUM:194	GO:0071456	1.0000000
558	CORUM:194	GO:0080134	1.0000000
559	CORUM:194	GO:0098542	1.0000000
560	CORUM:194	GO:1902036	1.0000000
561	CORUM:194	GO:1903561	1.0000000
562	CORUM:194	HPA:0040000	0.6666667
563	CORUM:194	HPA:0040081	0.6666667
564	CORUM:194	HPA:0300412	0.6666667
565	CORUM:194	HPA:0530000	0.6666667
566	CORUM:194	HPA:0530711	0.6666667
567	CORUM:194	HPA:0600000	0.6666667
568	CORUM:194	HPA:0600441	0.6666667
569	CORUM:194	REAC:R-HSA-1236974	1.0000000
570	CORUM:194	REAC:R-HSA-1236975	1.0000000
571	CORUM:194	REAC:R-HSA-1266738	1.0000000
572	CORUM:194	REAC:R-HSA-1280215	1.0000000
573	CORUM:194	REAC:R-HSA-1280218	0.8333333
574	CORUM:194	REAC:R-HSA-1643685	0.8333333
575	CORUM:194	REAC:R-HSA-168249	1.0000000
576	CORUM:194	REAC:R-HSA-168256	1.0000000
577	CORUM:194	REAC:R-HSA-180534	0.6666667
578	CORUM:194	REAC:R-HSA-211733	0.6666667
579	CORUM:194	REAC:R-HSA-2262752	1.0000000
580	CORUM:194	REAC:R-HSA-349425	0.6666667
581	CORUM:194	REAC:R-HSA-376176	1.0000000
582	CORUM:194	REAC:R-HSA-422475	1.0000000
583	CORUM:194	REAC:R-HSA-449147	1.0000000
584	CORUM:194	REAC:R-HSA-450408	0.6666667
585	CORUM:194	REAC:R-HSA-5357801	0.8333333
586	CORUM:194	REAC:R-HSA-5663205	1.0000000
587	CORUM:194	REAC:R-HSA-5687128	0.6666667
588	CORUM:194	REAC:R-HSA-69202	0.6666667
589	CORUM:194	REAC:R-HSA-69601	0.6666667
590	CORUM:194	REAC:R-HSA-69610	0.6666667
591	CORUM:194	REAC:R-HSA-69613	0.6666667
